Rooms,BuildingArea,Postcode,Price
2,79.0,3067.0,1035000.0
3,150.0,3067.0,1465000.0
4,142.0,3067.0,1600000.0
3,210.0,3067.0,1876000.0
2,107.0,3067.0,1636000.0
2,75.0,3067.0,1097000.0
3,190.0,3067.0,1350000.0
2,94.0,3067.0,750000.0
2,97.0,3067.0,1310000.0
3,110.0,3067.0,1200000.0
3,105.0,3067.0,1176500.0
2,73.0,3067.0,890000.0
4,135.0,3067.0,1330000.0
3,27.0,3067.0,1090000.0
2,60.0,3067.0,500000.0
2,135.0,3067.0,1100000.0
2,85.0,3067.0,1315000.0
3,174.0,3067.0,1447500.0
1,50.0,3067.0,457000.0
2,128.0,3067.0,1135000.0
3,18.0,3067.0,1290000.0
3,124.0,3067.0,1290000.0
1,50.0,3067.0,470000.0
2,91.0,3067.0,1180000.0
3,128.0,3067.0,1195000.0
2,82.0,3067.0,1012500.0
2,81.0,3067.0,1030000.0
3,225.0,3042.0,840000.0
3,145.0,3042.0,730000.0
3,145.0,3042.0,770000.0
2,84.0,3042.0,603000.0
3,134.0,3042.0,700000.0
3,116.0,3042.0,600000.0
2,86.0,3042.0,500000.0
4,127.0,3042.0,785000.0
6,186.0,3042.0,725000.0
2,90.0,3042.0,450000.0
2,73.0,3042.0,515000.0
2,94.0,3042.0,530000.0
3,133.0,3042.0,895000.0
3,105.0,3042.0,805000.0
3,130.0,3042.0,752000.0
3,133.0,3042.0,700000.0
3,113.0,3042.0,830000.0
2,100.0,3042.0,675000.0
3,174.0,3042.0,1042000.0
4,309.0,3042.0,773000.0
3,192.0,3042.0,810000.0
3,126.0,3042.0,715000.0
3,101.0,3042.0,540000.0
3,102.0,3042.0,825000.0
3,113.0,3042.0,685000.0
2,76.0,3042.0,510000.0
4,146.0,3042.0,900000.0
2,82.0,3206.0,1275000.0
3,198.0,3206.0,2850000.0
3,133.0,3206.0,1850000.0
2,81.0,3206.0,1436000.0
4,180.0,3206.0,2300000.0
3,159.0,3206.0,1800000.0
2,107.0,3206.0,2120000.0
3,122.0,3206.0,1800000.0
3,181.0,3206.0,2615000.0
3,85.0,3206.0,1370000.0
2,98.0,3206.0,1322500.0
2,83.0,3206.0,1562500.0
